titre,ville,code_postal,prix,surface,type_bien,pieces,url
Appartement 65m² à vincennes,Vincennes,94300,718 000 €,65 m²,>Appartements à vendre,3 pièces,https://www.etreproprio.com/immobilier-23977671-vente-appartement-65m-a-vincennes-vincennes
Appartement 19m² à vincennes,Vincennes,94300,201 000 €,19 m²,>Appartements à vendre,1 pièce,https://www.etreproprio.com/immobilier-23974189-vente-appartement-19m-a-vincennes-vincennes
Appartement 88m² à vincennes,Vincennes,94300,867 000 €,88 m²,>Appartements à vendre,4 pièces,https://www.etreproprio.com/immobilier-23977686-vente-appartement-88m-a-vincennes-vincennes
Commerce 120m² à vincennes,Vincennes,94300,308 000 €,120 m²,>Commerces à vendre,,https://www.etreproprio.com/immobilier-23972465-vente-commerce-120m-a-vincennes-vincennes
Vincennes 5 min du centre 2 pièces 50.35 m2 avec balcon 13m2,Vincennes,94300,439 000 €,50 m²,>Appartements à vendre,2 pièces,https://www.etreproprio.com/immobilier-23966039-vente-vincennes-5-min-du-centre-2-pieces-5035-m2-avec-balcon-13m2-vincennes
Appartement 65m² à vincennes,Vincennes,94300,671 000 €,65 m²,>Appartements à vendre,3 pièces,https://www.etreproprio.com/immobilier-23977687-vente-appartement-65m-a-vincennes-vincennes
"Fonds de commerce, tout activité, sauf restauration",Vincennes,94300,220 000 €,35 m²,>Commerces à vendre,3 pièces,https://www.etreproprio.com/immobilier-23975889-vente-fonds-de-commerce-tout-activite-sauf-restauration-vincennes
Exclusivité bsk immobilier  !!!,Vincennes,94300,325 000 €,34 m²,>Appartements à vendre,2 pièces,https://www.etreproprio.com/immobilier-23964806-vente-exclusivite-bsk-immobilier-vincennes
Charmant appartement 3 pièces - rer a de vincennes,Vincennes,94300,537 000 €,55 m²,>Appartements à vendre,3 pièces,https://www.etreproprio.com/immobilier-23556358-vente-charmant-appartement-3-pieces-rer-a-de-vincennes-vincennes
Appartement 38m² à vincennes,Vincennes,94300,334 000 €,38 m²,>Appartements à vendre,2 pièces,https://www.etreproprio.com/immobilier-23959229-vente-appartement-38m-a-vincennes-vincennes
"Appartement 60,16m2 3 pièces vincennes",Vincennes,94300,580 000 €,60 m²,>Appartements à vendre,3 pièces,https://www.etreproprio.com/immobilier-23950486-vente-appartement-6016m2-3-pieces-vincennes-vincennes
Appartement 2 pièces secteur vincennes/mairie,Vincennes,94300,295 000 €,33 m²,>Appartements à vendre,2 pièces,https://www.etreproprio.com/immobilier-23952667-vente-appartement-2-pieces-secteur-vincennesmairie-vincennes
2 pièces avec jardin privatif,Vincennes,94300,395 000 €,50 m²,>Appartements à vendre,2 pièces,https://www.etreproprio.com/immobilier-23916125-vente-2-pieces-avec-jardin-privatif-vincennes
Appartement - 2 pièces - vincennes,Vincennes,94300,335 000 €,33 m²,>Appartements à vendre,2 pièces,https://www.etreproprio.com/immobilier-23953829-vente-appartement-2-pieces-vincennes-vincennes
Appartement - 3 pièces - vincennes,Vincennes,94300,399 000 €,60 m²,>Appartements à vendre,3 pièces,https://www.etreproprio.com/immobilier-23953834-vente-appartement-3-pieces-vincennes-vincennes
