titre,ville,code_postal,prix,surface,type_bien,pieces,url,prix_m2,latitude,longitude
Appartement 65m² à vincennes,Vincennes,94300,718000,65,Appartements,3,https://www.etreproprio.com/immobilier-23977671-vente-appartement-65m-a-vincennes-vincennes,11046,48.8474508,2.4396714
Appartement 19m² à vincennes,Vincennes,94300,201000,19,Appartements,1,https://www.etreproprio.com/immobilier-23974189-vente-appartement-19m-a-vincennes-vincennes,10579,48.8474508,2.4396714
Appartement 88m² à vincennes,Vincennes,94300,867000,88,Appartements,4,https://www.etreproprio.com/immobilier-23977686-vente-appartement-88m-a-vincennes-vincennes,9852,48.8474508,2.4396714
Commerce 120m² à vincennes,Vincennes,94300,308000,120,Commerces,,https://www.etreproprio.com/immobilier-23972465-vente-commerce-120m-a-vincennes-vincennes,2567,48.8474508,2.4396714
Vincennes 5 min du centre 2 pièces 50.35 m2 avec balcon 13m2,Vincennes,94300,439000,50,Appartements,2,https://www.etreproprio.com/immobilier-23966039-vente-vincennes-5-min-du-centre-2-pieces-5035-m2-avec-balcon-13m2-vincennes,8780,48.8474508,2.4396714
Appartement 65m² à vincennes,Vincennes,94300,671000,65,Appartements,3,https://www.etreproprio.com/immobilier-23977687-vente-appartement-65m-a-vincennes-vincennes,10323,48.8474508,2.4396714
"Fonds de commerce, tout activité, sauf restauration",Vincennes,94300,220000,35,Commerces,3,https://www.etreproprio.com/immobilier-23975889-vente-fonds-de-commerce-tout-activite-sauf-restauration-vincennes,6286,48.8474508,2.4396714
Exclusivité bsk immobilier  !!!,Vincennes,94300,325000,34,Appartements,2,https://www.etreproprio.com/immobilier-23964806-vente-exclusivite-bsk-immobilier-vincennes,9559,48.8474508,2.4396714
Charmant appartement 3 pièces - rer a de vincennes,Vincennes,94300,537000,55,Appartements,3,https://www.etreproprio.com/immobilier-23556358-vente-charmant-appartement-3-pieces-rer-a-de-vincennes-vincennes,9764,48.8474508,2.4396714
Appartement 38m² à vincennes,Vincennes,94300,334000,38,Appartements,2,https://www.etreproprio.com/immobilier-23959229-vente-appartement-38m-a-vincennes-vincennes,8789,48.8474508,2.4396714
"Appartement 60,16m2 3 pièces vincennes",Vincennes,94300,580000,60,Appartements,3,https://www.etreproprio.com/immobilier-23950486-vente-appartement-6016m2-3-pieces-vincennes-vincennes,9667,48.8474508,2.4396714
Appartement 2 pièces secteur vincennes/mairie,Vincennes,94300,295000,33,Appartements,2,https://www.etreproprio.com/immobilier-23952667-vente-appartement-2-pieces-secteur-vincennesmairie-vincennes,8939,48.8474508,2.4396714
2 pièces avec jardin privatif,Vincennes,94300,395000,50,Appartements,2,https://www.etreproprio.com/immobilier-23916125-vente-2-pieces-avec-jardin-privatif-vincennes,7900,48.8474508,2.4396714
Appartement - 2 pièces - vincennes,Vincennes,94300,335000,33,Appartements,2,https://www.etreproprio.com/immobilier-23953829-vente-appartement-2-pieces-vincennes-vincennes,10152,48.8474508,2.4396714
